k,p,accuracy,time
1,1,70.625,0.2310805320739746
1,2,70.625,0.2630147933959961
1,3,70.625,0.2841348648071289
1,4,71.04166666666667,0.22935104370117188
1,5,70.83333333333334,0.25487446784973145
1,6,70.625,0.24682831764221191
1,7,70.20833333333333,0.2420806884765625
1,8,70.20833333333333,0.23166489601135254
1,9,70.20833333333333,0.25899529457092285
1,10,70.20833333333333,0.2320718765258789
2,1,72.08333333333333,0.19172143936157227
2,2,71.66666666666667,0.19625210762023926
2,3,70.20833333333333,0.246290922164917
2,4,69.79166666666666,0.254535436630249
2,5,69.58333333333333,0.24115610122680664
2,6,69.79166666666666,0.2297656536102295
2,7,69.79166666666666,0.2642402648925781
2,8,69.79166666666666,0.2291245460510254
2,9,70.0,0.2417004108428955
2,10,70.0,0.24113249778747559
3,1,76.25,0.17576098442077637
3,2,76.66666666666667,0.2450854778289795
3,3,75.41666666666667,0.30029916763305664
3,4,75.41666666666667,0.27066755294799805
3,5,75.20833333333333,0.28827428817749023
3,6,75.0,0.24726414680480957
3,7,74.79166666666667,0.2885622978210449
3,8,74.79166666666667,0.29770779609680176
3,9,74.79166666666667,0.2293863296508789
3,10,75.0,0.3176450729370117
4,1,66.66666666666666,0.21324396133422852
4,2,66.66666666666666,0.17883563041687012
4,3,65.83333333333333,0.2668168544769287
4,4,66.875,0.2599167823791504
4,5,66.45833333333333,0.24564838409423828
4,6,66.875,0.28072142601013184
4,7,67.08333333333333,0.2607884407043457
4,8,66.875,0.2306210994720459
4,9,66.66666666666666,0.2706928253173828
4,10,66.45833333333333,0.2622060775756836
5,1,77.5,0.17696738243103027
5,2,77.5,0.22390007972717285
5,3,77.29166666666667,0.25955724716186523
5,4,76.66666666666667,0.2679884433746338
5,5,76.25,0.22831225395202637
5,6,76.66666666666667,0.2633521556854248
5,7,76.875,0.30549049377441406
5,8,76.66666666666667,0.2321913242340088
5,9,76.66666666666667,0.2790944576263428
5,10,76.66666666666667,0.2599000930786133
6,1,71.66666666666667,0.20991158485412598
6,2,71.45833333333333,0.21765398979187012
6,3,70.41666666666667,0.26059961318969727
6,4,69.79166666666666,0.2305896282196045
6,5,70.20833333333333,0.27124977111816406
6,6,70.41666666666667,0.30275869369506836
6,7,70.41666666666667,0.27686643600463867
6,8,70.625,0.2633171081542969
6,9,70.625,0.2565121650695801
6,10,70.625,0.24706578254699707
7,1,77.91666666666667,0.21773600578308105
7,2,77.5,0.20740199089050293
7,3,77.5,0.2324659824371338
7,4,77.5,0.2769160270690918
7,5,77.5,0.31324148178100586
7,6,78.125,0.25707173347473145
7,7,78.33333333333333,0.23567771911621094
7,8,78.33333333333333,0.2703399658203125
7,9,78.33333333333333,0.3009517192840576
7,10,78.33333333333333,0.22873687744140625
8,1,73.95833333333334,0.21911954879760742
8,2,73.95833333333334,0.25212955474853516
8,3,73.75,0.22662973403930664
8,4,73.54166666666667,0.23423027992248535
8,5,73.54166666666667,0.23814940452575684
8,6,73.95833333333334,0.2307426929473877
8,7,73.75,0.2855665683746338
8,8,73.75,0.2573964595794678
8,9,73.54166666666667,0.2339766025543213
8,10,73.54166666666667,0.2806117534637451
9,1,79.58333333333333,0.21234655380249023
9,2,78.54166666666667,0.17681360244750977
9,3,78.75,0.2659461498260498
9,4,78.54166666666667,0.2624657154083252
9,5,78.54166666666667,0.23331665992736816
9,6,78.33333333333333,0.28289794921875
9,7,78.54166666666667,0.26175618171691895
9,8,78.95833333333333,0.2580068111419678
9,9,78.95833333333333,0.22811651229858398
9,10,78.95833333333333,0.262829065322876
